nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,intervention_type,intervention_name,description,intervention_count,status,facility_name,city,state,zip,country,site_count
NCT04244591,"ClinicalTrials.gov processed this data on April 17, 2020",2020-01-23,NA,NA,2020-04-14,2020-01-25,2020-01-28,Actual,NA,NA,NA,NA,NA,NA,2020-04-14,2020-04-15,Actual,"January 26, 2020",Actual,2020-01-26,February 2020,2020-02-29,"April 13, 2020",Actual,2020-04-13,"April 13, 2020",Actual,2020-04-13,NA,Interventional,NA,,Glucocorticoid Therapy for COVID-19 Critically Ill Patients With Severe Acute Respiratory Failure,"Glucocorticoid Therapy for Critically Ill Patients With Severe Acute Respiratory Infections Caused by COVID-19: a Prospective, Randomized Controlled Trial",Completed,NA,Phase 2/Phase 3,80,Actual,Peking Union Medical College Hospital,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-20T08:53:30Z,2020-04-20T08:53:30Z,Drug|Other,methylprednisolone therapy|Standard care,Methylprednisolone 40 mg q12h for 5 days|Standard care,2,,"Medical ICU,Peking Union Medical College Hospital",Beijing,Beijing,010,China,1
NCT04252118,"ClinicalTrials.gov processed this data on April 17, 2020",2020-01-27,NA,NA,2020-04-13,2020-01-30,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-04-13,2020-04-15,Actual,"January 27, 2020",Actual,2020-01-27,April 2020,2020-04-30,December 2021,Anticipated,2021-12-31,December 2020,Anticipated,2020-12-31,NA,Interventional,NA,,Mesenchymal Stem Cell Treatment for Pneumonia Patients Infected With COVID-19,Safety and Efficiency of Mesenchymal Stem Cell in Treating Pneumonia Patients Infected With COVID-19,Recruiting,NA,Phase 1,20,Anticipated,Beijing 302 Hospital,,2,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-20T08:53:22Z,2020-04-20T08:53:22Z,Biological,MSCs,"3 times of MSCs(3.0*10E7 MSCs intravenously at Day 0, Day 3, Day 6).",1,Recruiting,Beijing 302 Military Hospital of China,Beijing,,100039,China,1
NCT04251871,"ClinicalTrials.gov processed this data on March 31, 2020",2020-01-28,NA,NA,2020-01-30,2020-01-30,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-01-30,2020-02-05,Actual,"January 22, 2020",Actual,2020-01-22,January 2020,2020-01-31,"January 22, 2021",Anticipated,2021-01-22,"January 22, 2021",Anticipated,2021-01-22,NA,Interventional,NA,,Treatment and Prevention of Traditional Chinese Medicines (TCMs) on 2019-nCoV Infection,"Effects of Traditional Chinese Medicines (TCMs) on Patients With 2019-nCoV Infection: A Perspective, Open-labeled, Randomized, Controlled Trial",Recruiting,NA,N/A,150,Anticipated,Beijing 302 Hospital,,2,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-01T09:27:26Z,2020-04-01T09:27:26Z,Drug|Drug,"Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir) and Traditional Chinese Medicines (TCMs) granules|Conventional medicines (Oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir)","Conventional medicines: oxygen therapy, antiviral therapy (alfa interferon via aerosol inhalation, and lopinavir/ritonavir, 400mg/100mg, p.o, bid) for 14 days.
Traditional Chinese Medicines (TCMs) granules: 20g, p.o, bid, for 14 days.|Conventional medicines: oxygen therapy, antiviral therapy (alfa interferon via aerosol inhalation, and lopinavir/ritonavir, 400mg/100mg, p.o, bid) for 14 days.",2,Recruiting,"The Fifth Medical Center, General Hospital of PLA",Beijing,Beijing,100039,China,1
NCT04252274,"ClinicalTrials.gov processed this data on April 17, 2020",2020-01-29,NA,NA,2020-04-09,2020-01-31,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-04-09,2020-04-13,Actual,"January 30, 2020",Actual,2020-01-30,April 2020,2020-04-30,"December 31, 2020",Anticipated,2020-12-31,"August 31, 2020",Anticipated,2020-08-31,NA,Interventional,DC-COVID-19,,Efficacy and Safety of Darunavir and Cobicistat for Treatment of COVID-19,Efficacy and Safety of Darunavir and Cobicistat for Treatment of COVID-19,Recruiting,NA,Phase 3,30,Anticipated,Shanghai Public Health Clinical Center,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,NA,NA,2020-04-20T08:53:21Z,2020-04-20T08:53:21Z,Drug,Darunavir and Cobicistat,"Subjects take darunavir and cobicistat one tablet per day for 5 days, also take conventional treatments",1,Recruiting|Recruiting,Shanghai Public Health Clinical Center|Shanghai Public Health Clinical Center,Shanghai|Shanghai,Shanghai|Shanghai,201508|,China|China,2
NCT04252885,"ClinicalTrials.gov processed this data on March 31, 2020",2020-01-30,NA,NA,2020-01-31,2020-01-31,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-01-31,2020-02-05,Actual,"January 28, 2020",Anticipated,2020-01-28,January 2020,2020-01-31,"July 31, 2020",Anticipated,2020-07-31,"May 30, 2020",Anticipated,2020-05-30,NA,Interventional,ELACOI,,The Efficacy of Lopinavir Plus Ritonavir and Arbidol Against Novel Coronavirus Infection,"A Randomized, Open-label, Controlled Study of the Efficacy of Lopinavir Plus Ritonavir and Arbidol for Treating With Patients With Novel Coronavirus Infection",Recruiting,NA,Phase 4,125,Anticipated,Guangzhou 8th People's Hospital,,3,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,NA,NA,2020-04-01T09:27:18Z,2020-04-01T09:27:18Z,Drug|Drug,Lopinavir and Ritonavir Tablets|Arbidol,As indicated in arm/group descriptions|As indicated in arm/group descriptions,2,Recruiting,Guangzhou Eighth People's Hospital,Guangzhou,Guangdong,510060,China,1
NCT04251767,"ClinicalTrials.gov processed this data on March 31, 2020",2020-01-30,NA,NA,2020-03-13,2020-01-31,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-03-13,2020-03-17,Actual,"February 5, 2020",Anticipated,2020-02-05,March 2020,2020-03-31,"April 30, 2020",Anticipated,2020-04-30,"April 30, 2020",Anticipated,2020-04-30,NA,Interventional,NA,,Washed Microbiota Transplantation for Patients With 2019-nCoV Infection,"Washed Microbiota Transplantation for Patients With 2019-nCoV Infection: a Randomized, Double-blind, Placebo-controlled Study",Withdrawn,NA,N/A,0,Actual,The Second Hospital of Nanjing Medical University,,2,NA,Follow new disciplines on disease control from government,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,No,NA,2020-04-01T09:27:26Z,2020-04-01T09:27:26Z,Other|Other,washed microbiota transplantation|placebo,"Washed microbiota suspension (5u) delivered through nasogastric tube, nasojejunal tube or oral.
Dose and frequency: 5u, once.|Placebo (edible suspension of the same color as the washed microbiota suspensionï¼Œ5u) administered via nasogastric tube, nasojejunal tube or oral, combining with standard therapy.
Dose and frequency: 5u, once.",2,,"Medical Center for Digestive Diseases, The Second Affiliated Hospital of Nanjing Medical University",Nanjing,Jiangsu,210011,China,1
NCT04257656,"ClinicalTrials.gov processed this data on April 17, 2020",2020-01-31,NA,NA,2020-04-13,2020-02-03,2020-02-06,Actual,NA,NA,NA,NA,NA,NA,2020-04-13,2020-04-15,Actual,"February 6, 2020",Actual,2020-02-06,April 2020,2020-04-30,"April 10, 2020",Actual,2020-04-10,"March 30, 2020",Actual,2020-03-30,NA,Interventional,NA,,A Trial of Remdesivir in Adults With Severe COVID-19,"A Phase 3 Randomized, Double-blind, Placebo-controlled, Multicenter Study to Evaluate the Efficacy and Safety of Remdesivir in Hospitalized Adult Patients With Severe COVID-19.",Terminated,NA,Phase 3,237,Actual,Capital Medical University,,2,NA,"The epidemic of COVID-19 has been controlled well in China, no eligible patients can be
    enrolled at present.",FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-20T08:53:16Z,2020-04-20T08:53:16Z,Drug|Drug,Remdesivir|Remdesivir placebo,"RDV 200 mg loading dose on day 1 is given, followed by 100 mg iv once-daily maintenance doses for 9 days.|RDV placebo 200 mg loading dose on day 1 is given, followed by 100 mg iv once-daily maintenance doses for 9 days.",2,,Bin Cao,Beijing,Beijing,100029,China,1
NCT04252664,"ClinicalTrials.gov processed this data on April 17, 2020",2020-01-31,NA,NA,2020-04-13,2020-01-31,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-04-13,2020-04-15,Actual,"February 12, 2020",Actual,2020-02-12,April 2020,2020-04-30,"April 27, 2020",Anticipated,2020-04-27,"April 10, 2020",Anticipated,2020-04-10,NA,Interventional,NA,,A Trial of Remdesivir in Adults With Mild and Moderate COVID-19,"A Phase 3 Randomized, Double-blind, Placebo-controlled Multicenter Study to Evaluate the Efficacy and Safety of Remdesivir in Hospitalized Adult Patients With Mild and Moderate COVID-19.",Suspended,NA,Phase 3,308,Anticipated,Capital Medical University,,2,NA,"The epidemic of COVID-19 has been controlled well at present, no eligible patients can be
    recruitted.",FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-20T08:53:20Z,2020-04-20T08:53:20Z,Drug|Drug,Remdesivir|Remdesivir placebo,"RDV 200 mg loading dose on day 1 is given, followed by 100 mg iv once-daily maintenance doses for 9 days.|RDV placebo 200 mg loading dose on day 1 is given, followed by 100 mg iv once-daily maintenance doses for 9 days.",2,,Jin Yin-tan hospital,Wuhan,Hubei,100013,China,1
NCT04263402,"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-02,NA,NA,2020-03-14,2020-02-07,2020-02-10,Actual,NA,NA,NA,NA,NA,NA,2020-03-14,2020-03-17,Actual,"February 1, 2020",Actual,2020-02-01,March 2020,2020-03-31,"July 1, 2020",Anticipated,2020-07-01,"June 1, 2020",Anticipated,2020-06-01,NA,Interventional,NA,,The Efficacy of Different Hormone Doses in 2019-nCoV Severe Pneumonia,"An Open, Prospective/Retrospective, Randomized Controlled Cohort Study to Compare the Efficacy of Different Hormone Doses in the Treatment of 2019-nCoV Severe Pneumonia",Recruiting,NA,Phase 4,100,Anticipated,Tongji Hospital,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-01T09:25:53Z,2020-04-01T09:25:53Z,Drug|Drug,Methylprednisolone|Methylprednisolone,"Patients in the Group I will receive basic symptomatic supportive treatment,plus methylprednisolone(<40mg/d intravenous drip for 7 days).|Patients in the Group II will receive basic symptomatic supportive treatment,plus methylprednisolone(40~80mg/d intravenous drip for 7 days).",2,Recruiting,Department and Institute of Infectious Disease,Wuhan,Hubei,430030,China,1
NCT04255017,"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-02,NA,NA,2020-03-14,2020-02-02,2020-02-05,Actual,NA,NA,NA,NA,NA,NA,2020-03-14,2020-03-17,Actual,"February 1, 2020",Actual,2020-02-01,March 2020,2020-03-31,"July 1, 2020",Anticipated,2020-07-01,"June 1, 2020",Anticipated,2020-06-01,NA,Interventional,NA,,"A Prospective/Retrospective,Randomized Controlled Clinical Study of Antiviral Therapy in the 2019-nCoV Pneumonia","An Open, Prospective/Retrospective, Randomized Controlled Cohort Study to Compare the Efficacy of Three Antiviral Drugs(Abidol Hydrochloride, Oseltamivir and Lopinavir/Ritonavir) in the Treatment of 2019-nCoV Pneumonia.",Recruiting,NA,Phase 4,400,Anticipated,Tongji Hospital,,4,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-01T09:27:04Z,2020-04-01T09:27:04Z,Drug|Drug|Drug,Abidol hydrochloride|Oseltamivir|Lopinavir/ritonavir,"Abidol hydrochloride (0.2g once, 3 times a day,2 weeks)was added on the basis of group I.|Oseltamivir(75mg once, twice a day,2 weeks) was added on the basis of group I.|Lopinavir/ritonavir (500mg once, twice a day,2 weeks)was added on the basis of group I.",3,Recruiting,Department and Institute of Infectious Disease,Wuhan,Hubei,430030,China,1
